disease1,disease2
C2674218,C2674218
C2674218,C0011880
C2674218,C0011880
C2674218,C1852092
C2674218,C0034091
C2674218,C0342277
C2674218,C0007785
C2674218,C0431693
C2674218,C2678338
C2674218,C0020481
C2674218,C0002876
C2674218,C1838100
C2674218,C2675212
C2674218,C0740302
C2674218,C1969343
C2674218,C1833382
C2674218,C1838457
C2674218,C1853371
C2674218,C0004096
C2674218,C0272052
C2674218,C1837915
C2674218,C1864623
C2674218,C0006277
C2674218,C1836861
C2674218,C1864839
C2674218,C1857775
C2674218,C0152264
C2674218,C2677132
C2674218,C0340968
C2674218,C1833104
C2674218,C0027051
C2674218,C1843687
C2674218,C1720779
C2674218,C1306856
C2674218,C1835817
C2674218,C1845028
C2674218,C0014761
C0011880,C2674218
C0011880,C0011880
C0011880,C0011880
C0011880,C1852092
C0011880,C0034091
C0011880,C1852093
C0011880,C0007785
C0011880,C0431693
C0011880,C2678338
C0011880,C0020481
C0011880,C0002876
C0011880,C1838100
C0011880,C0020474
C0011880,C0740302
C0011880,C1969343
C0011880,C1833382
C0011880,C2675512
C0011880,C1863512
C0011880,C1838457
C0011880,C1853297
C0011880,C0004096
C0011880,C0272052
C0011880,C1266144
C0011880,C2675866
C0011880,C1837915
C0011880,C0032463
C0011880,C0006277
C0011880,C2930930
C0011880,C1836861
C0011880,C1864839
C0011880,C1857775
C0011880,C0152264
C0011880,C2677132
C0011880,C0221018
C0011880,C0027051
C0011880,C1843687
C0011880,C2931384
C0011880,C1306856
C0011880,C2675192
C0011880,C1835817
C0011880,C1856797
C0011880,C1845028
C0011880,C0031190
C0011880,C0014761
C0011880,C1864041
C0011880,C2674218
C0011880,C0011880
C0011880,C0011880
C0011880,C1852092
C0011880,C0342277
C0011880,C0007785
C0011880,C0431693
C0011880,C2678338
C0011880,C0020481
C0011880,C0002876
C0011880,C2675212
C0011880,C0020474
C0011880,C0740302
C0011880,C2675512
C0011880,C1863512
C0011880,C1853297
C0011880,C1266144
C0011880,C2675866
C0011880,C1864623
C0011880,C0006277
C0011880,C2930930
C0011880,C1836861
C0011880,C1864839
C0011880,C0152264
C0011880,C1833104
C0011880,C0027051
C0011880,C1306856
C0011880,C1845028
C1852092,C2674218
C1852092,C0011880
C1852092,C0011880
C1852092,C0034091
C1852092,C1852093
C1852092,C0007785
C1852092,C0431693
C1852092,C2678338
C1852092,C0020481
C1852092,C1838100
C1852092,C2675212
C1852092,C0020474
C1852092,C1833382
C1852092,C2675512
C1852092,C1853371
C1852092,C1853297
C1852092,C0272052
C1852092,C1266144
C1852092,C1837915
C1852092,C0032463
C1852092,C2930930
C1852092,C1836861
C1852092,C1857775
C1852092,C0340968
C1852092,C0221018
C1852092,C1835817
C1852092,C1856797
C0034091,C2674218
C0034091,C0011880
C0034091,C1852092
C0034091,C0342277
C0034091,C1852093
C0034091,C0007785
C0034091,C0431693
C0034091,C2678338
C0034091,C0002876
C0034091,C1838100
C0034091,C2675212
C0034091,C1969343
C0034091,C1833382
C0034091,C1838457
C0034091,C0004096
C0034091,C0272052
C0034091,C2675866
C0034091,C1864623
C0034091,C0006277
C0034091,C2930930
C0034091,C1864839
C0034091,C2677132
C0034091,C1833104
C0034091,C2675192
C0034091,C1306856
C0342277,C2674218
C0342277,C0011880
C0342277,C0034091
C0342277,C0342277
C0342277,C1852093
C0342277,C0007785
C0342277,C0431693
C0342277,C0020481
C0342277,C0002876
C0342277,C1838100
C0342277,C0740302
C0342277,C1969343
C0342277,C1863512
C0342277,C1853297
C0342277,C0004096
C0342277,C1266144
C0342277,C1837915
C0342277,C0032463
C0342277,C0006277
C0342277,C1836861
C0342277,C0152264
C0342277,C0340968
C0342277,C1306856
C0342277,C1835817
C1852093,C0011880
C1852093,C1852092
C1852093,C0034091
C1852093,C0342277
C1852093,C1852093
C1852093,C0007785
C1852093,C2678338
C1852093,C0020481
C1852093,C0002876
C1852093,C0020474
C1852093,C0740302
C1852093,C2675512
C1852093,C1853371
C1852093,C1853297
C1852093,C0272052
C1852093,C2675866
C1852093,C1864623
C1852093,C0032463
C1852093,C2930930
C1852093,C1857775
C1852093,C2677132
C1852093,C2931384
C1852093,C2675192
C0007785,C1863512
C0007785,C1306856
C0431693,C0011880
C0431693,C0011880
C0431693,C1852092
C0431693,C0034091
C0431693,C0342277
C0431693,C0007785
C0431693,C0431693
C0431693,C2678338
C0431693,C1838100
C0431693,C2675212
C0431693,C1969343
C0431693,C1863512
C0431693,C1838457
C0431693,C1853297
C0431693,C0272052
C0431693,C1266144
C0431693,C2675866
C0431693,C1837915
C0431693,C0032463
C0431693,C1836861
C0431693,C1857775
C0431693,C1833104
C0431693,C1843687
C0431693,C2931384
C2678338,C0011880
C2678338,C1852092
C2678338,C2678338
C2678338,C0020481
C2678338,C0020474
C2678338,C1833382
C2678338,C1853297
C2678338,C0272052
C2678338,C1837915
C2678338,C2930930
C2678338,C1836861
C2678338,C1864839
C2678338,C0152264
C2678338,C2677132
C2678338,C0340968
C2678338,C1833104
C2678338,C0027051
C2678338,C1843687
C2678338,C2931384
C2678338,C1306856
C0020481,C2674218
C0020481,C0011880
C0020481,C0011880
C0020481,C1852092
C0020481,C0342277
C0020481,C1852093
C0020481,C0007785
C0020481,C0431693
C0020481,C0020481
C0020481,C0002876
C0020481,C0020474
C0020481,C1833382
C0020481,C2675512
C0020481,C1838457
C0020481,C1853297
C0020481,C0272052
C0020481,C1266144
C0020481,C1837915
C0020481,C0006277
C0020481,C2930930
C0020481,C1836861
C0020481,C0221018
C0020481,C1843687
C0002876,C2674218
C0002876,C0011880
C0002876,C0011880
C0002876,C0034091
C0002876,C0342277
C0002876,C1852093
C0002876,C0007785
C0002876,C0431693
C0002876,C2678338
C0002876,C0020481
C0002876,C1838100
C0002876,C2675212
C0002876,C0740302
C0002876,C1969343
C0002876,C1833382
C0002876,C1863512
C0002876,C1838457
C0002876,C1853371
C0002876,C1853297
C0002876,C0004096
C0002876,C0272052
C0002876,C1266144
C0002876,C2675866
C0002876,C0032463
C0002876,C0006277
