disease_1,disease_2,edge_weight
C2674218,C2674218,0.005128206
C2674218,C0011880,0.013333336999999999
C2674218,C0011880,0.020000005
C2674218,C1852092,0.016666671
C2674218,C0034091,0.020000005
C2674218,C0342277,0.020000005
C2674218,C0007785,0.005405406999999999
C2674218,C0431693,0.036363646
C2674218,C2678338,0.01538462
C2674218,C0020481,0.03750001
C2674218,C0002876,0.01538462
C2674218,C1838100,0.08750252
C2674218,C2675212,0.01538462
C2674218,C0740302,0.008000001
C2674218,C1969343,0.018181823
C2674218,C1833382,0.0017857148000000002
C2674218,C1838457,0.020000005
C2674218,C1853371,0.016666671
C2674218,C0004096,0.028573934
C2674218,C0272052,0.014285718000000001
C2674218,C1837915,0.011111113999999998
C2674218,C1864623,0.016666671
C2674218,C0006277,0.018181823
C2674218,C1836861,0.018181823
C2674218,C1864839,0.0050000013
C2674218,C1857775,0.018181823
C2674218,C0152264,0.020000005
C2674218,C2677132,0.04000001
C2674218,C0340968,0.0060606077
C2674218,C1833104,1.8486344e-06
C2674218,C0027051,0.008000001
C2674218,C1843687,0.019047624
C2674218,C1720779,0.004166668
C2674218,C1306856,0.036381494
C2674218,C1835817,0.0060606077
C2674218,C1845028,0.00769231
C2674218,C0014761,0.013333336999999999
C0011880,C2674218,0.018181823
C0011880,C0011880,0.005555556999999999
C0011880,C0011880,0.0027027034999999996
C0011880,C1852092,0.0027777784999999996
C0011880,C0034091,0.0027777784999999996
C0011880,C1852093,0.00808081
C0011880,C0007785,0.0027397266
C0011880,C0431693,0.0026666673
C0011880,C2678338,0.00851064
C0011880,C0020481,0.008000001
C0011880,C0002876,0.005128206
C0011880,C1838100,0.0026666673
C0011880,C0020474,0.002298851
C0011880,C0740302,0.0054794530000000004
C0011880,C1969343,0.008045979
C0011880,C1833382,0.0026666673
C0011880,C2675512,0.0048780496999999996
C0011880,C1863512,0.0027777784999999996
C0011880,C1838457,0.0027027034999999996
C0011880,C1853297,0.0026315795
C0011880,C0004096,0.0026315795
C0011880,C0272052,0.002816902
C0011880,C1266144,0.002409639
C0011880,C2675866,0.025000006
C0011880,C1837915,0.0046511637
C0011880,C0032463,0.0027397266
C0011880,C0006277,0.0026315795
C0011880,C2930930,0.0054794530000000004
C0011880,C1836861,0.06274512
C0011880,C1864839,0.004761906
C0011880,C1857775,0.0027777784999999996
C0011880,C0152264,0.0073170746
C0011880,C2677132,0.052631594000000004
C0011880,C0221018,0.0068965536
C0011880,C0027051,0.004819278
C0011880,C1843687,0.012727275500000001
C0011880,C2931384,0.0027397266
C0011880,C1306856,0.004761906
C0011880,C2675192,0.006315790999999999
C0011880,C1835817,0.00392157
C0011880,C1856797,0.004545456
C0011880,C1845028,0.0027397266
C0011880,C0031190,0.0077922093
C0011880,C0014761,0.0027027034999999996
C0011880,C1864041,0.007594938000000001
C0011880,C2674218,0.022222227999999997
C0011880,C0011880,0.018181823
C0011880,C0011880,0.022222227999999997
C0011880,C1852092,0.022222227999999997
C0011880,C0342277,0.005555556999999999
C0011880,C0007785,0.016666671
C0011880,C0431693,0.0064516140000000005
C0011880,C2678338,0.016666671
C0011880,C0020481,0.013333336999999999
C0011880,C0002876,0.016666671
C0011880,C2675212,0.008333336
C0011880,C0020474,0.020000005
C0011880,C0740302,0.0018018023
C0011880,C2675512,0.022222227999999997
C0011880,C1863512,0.018181823
C0011880,C1853297,0.01538462
C0011880,C1266144,0.011764709
C0011880,C2675866,0.008695655
C0011880,C1864623,0.020000005
C0011880,C0006277,0.020000005
C0011880,C2930930,0.005128206
C0011880,C1836861,0.009523812
C0011880,C1864839,0.022222227999999997
C0011880,C0152264,0.025000006
C0011880,C1833104,0.008333336
C0011880,C0027051,0.00425532
C0011880,C1306856,0.008000001
C0011880,C1845028,0.014285718000000001
C1852092,C2674218,0.033333343
C1852092,C0011880,0.050000012
C1852092,C0011880,0.050000012
C1852092,C0034091,0.0064516140000000005
C1852092,C1852093,0.028571436000000002
C1852092,C0007785,0.00769231
C1852092,C0431693,0.028571436000000002
C1852092,C2678338,0.020000005
C1852092,C0020481,0.028571436000000002
C1852092,C1838100,0.010526318
C1852092,C2675212,0.04000001
C1852092,C0020474,0.0018867929999999999
C1852092,C1833382,0.050000012
C1852092,C2675512,0.033333343
C1852092,C1853371,0.025000006
C1852092,C1853297,0.066666685
C1852092,C0272052,0.016666671
C1852092,C1266144,0.011111113999999998
C1852092,C1837915,0.04000001
C1852092,C0032463,0.04000001
C1852092,C2930930,0.012500003
C1852092,C1836861,0.050000012
C1852092,C1857775,0.30741125
C1852092,C0340968,0.010526318
C1852092,C0221018,0.004761906
C1852092,C1835817,0.010000003
C1852092,C1856797,0.022222227999999997
C0034091,C2674218,0.033333343
C0034091,C0011880,0.033333343
C0034091,C1852092,0.0060606077
C0034091,C0342277,0.022222227999999997
C0034091,C1852093,0.0071428590000000005
C0034091,C0007785,0.022222227999999997
C0034091,C0431693,0.016666671
C0034091,C2678338,0.022222227999999997
C0034091,C0002876,0.019047624
C0034091,C1838100,0.028571436000000002
C0034091,C2675212,0.0018518523
C0034091,C1969343,0.033333343
C0034091,C1833382,0.025000006
C0034091,C1838457,0.020000005
C0034091,C0004096,0.014285718000000001
C0034091,C0272052,0.010000003
C0034091,C2675866,0.028571436000000002
C0034091,C1864623,0.028571436000000002
C0034091,C0006277,0.011111113999999998
C0034091,C2930930,0.033333343
C0034091,C1864839,0.0068965536
C0034091,C2677132,0.009523812
C0034091,C1833104,0.004545456
C0034091,C2675192,0.018181823
C0034091,C1306856,0.018181823
C0342277,C2674218,0.100000024
C0342277,C0011880,0.012903228000000001
C0342277,C0034091,0.028571436000000002
C0342277,C0342277,0.00769231
C0342277,C1852093,0.057142872000000004
C0342277,C0007785,0.020000005
C0342277,C0431693,0.028571436000000002
C0342277,C0020481,0.010526318
C0342277,C0002876,0.08000002
C0342277,C1838100,0.0018867929999999999
C0342277,C0740302,0.100000024
C0342277,C1969343,0.066666685
C0342277,C1863512,0.025000006
C0342277,C1853297,0.016666671
C0342277,C0004096,0.011111113999999998
C0342277,C1266144,0.04000001
C0342277,C1837915,0.08000002
C0342277,C0032463,0.012500003
C0342277,C0006277,0.100000024
C0342277,C1836861,0.007407409
C0342277,C0152264,0.010526318
C0342277,C0340968,0.004761906
C0342277,C1306856,0.010000003
C0342277,C1835817,0.022222227999999997
C1852093,C0011880,0.012903228000000001
C1852093,C1852092,0.028571436000000002
C1852093,C0034091,0.00769231
C1852093,C0342277,0.057142872000000004
C1852093,C1852093,0.020000005
C1852093,C0007785,0.028571436000000002
C1852093,C2678338,0.010526318
C1852093,C0020481,0.08000002
C1852093,C0002876,0.0018867929999999999
C1852093,C0020474,0.100000024
C1852093,C0740302,0.066666685
C1852093,C2675512,0.025000006
C1852093,C1853371,0.016666671
C1852093,C1853297,0.011111113999999998
C1852093,C0272052,0.04000001
C1852093,C2675866,0.08000002
C1852093,C1864623,0.012500003
C1852093,C0032463,0.100000024
C1852093,C2930930,0.007407409
C1852093,C1857775,0.010526318
C1852093,C2677132,0.004761906
C1852093,C2931384,0.010000003
C1852093,C2675192,0.022222227999999997
