disease_1,disease_2,edge_weight
DOID:0110916,DOID:0110916,0.005128206
DOID:0110916,DOID:9351,0.013333336999999999
DOID:0110916,DOID:1837,0.020000005
DOID:0110916,DOID:0110741,0.016666671
DOID:0110916,DOID:5453,0.020000005
DOID:0110916,DOID:0111100,0.020000005
DOID:0110916,DOID:6713,0.005405406999999999
DOID:0110916,DOID:0111101,0.036363646
DOID:0110916,DOID:0110918,0.01538462
DOID:0110916,DOID:1171,0.03750001
DOID:0110916,DOID:1338,0.01538462
DOID:0110916,DOID:0111102,0.08750252
DOID:0110916,DOID:0110919,0.01538462
DOID:0110916,DOID:0090016,0.008000001
DOID:0110916,DOID:14557,0.018181823
DOID:0110916,DOID:0111103,0.0017857148000000002
DOID:0110916,DOID:0111089,0.020000005
DOID:0110916,DOID:0111104,0.016666671
DOID:0110916,DOID:2841,0.028573934
DOID:0110916,DOID:0050641,0.014285718000000001
DOID:0110916,DOID:0060474,0.011111113999999998
DOID:0110916,DOID:0060334,0.016666671
DOID:0110916,DOID:6132,0.018181823
DOID:0110916,DOID:0111091,0.018181823
DOID:0110916,DOID:0111106,0.0050000013
DOID:0110916,DOID:0060638,0.018181823
DOID:0110916,DOID:0060652,0.020000005
DOID:0110916,DOID:0111107,0.04000001
DOID:0110916,DOID:0111077,0.0060606077
DOID:0110916,DOID:0060639,1.8486344e-06
DOID:0110916,DOID:5844,0.008000001
DOID:0110916,DOID:0050650,0.019047624
DOID:0110916,DOID:14118,0.004166668
DOID:0110916,DOID:13381,0.036381494
DOID:0110916,DOID:0111094,0.0060606077
DOID:0110916,DOID:0050554,0.00769231
DOID:0110916,DOID:718,0.013333336999999999
DOID:9351,DOID:0110916,0.018181823
DOID:9351,DOID:9351,0.005555556999999999
DOID:9351,DOID:1837,0.0027027034999999996
DOID:9351,DOID:0110741,0.0027777784999999996
DOID:9351,DOID:5453,0.0027777784999999996
DOID:9351,DOID:0111099,0.00808081
DOID:9351,DOID:6713,0.0027397266
DOID:9351,DOID:0111101,0.0026666673
DOID:9351,DOID:0110918,0.00851064
DOID:9351,DOID:1171,0.008000001
DOID:9351,DOID:1338,0.005128206
DOID:9351,DOID:0111102,0.0026666673
DOID:9351,DOID:13809,0.002298851
DOID:9351,DOID:0090016,0.0054794530000000004
DOID:9351,DOID:14557,0.008045979
DOID:9351,DOID:0111103,0.0026666673
DOID:9351,DOID:1339,0.0048780496999999996
DOID:9351,DOID:0090105,0.0027777784999999996
DOID:9351,DOID:0111089,0.0027027034999999996
DOID:9351,DOID:0111105,0.0026315795
DOID:9351,DOID:2841,0.0026315795
DOID:9351,DOID:0050641,0.002816902
DOID:9351,DOID:4769,0.002409639
DOID:9351,DOID:0110757,0.025000006
DOID:9351,DOID:0060474,0.0046511637
DOID:9351,DOID:8997,0.0027397266
DOID:9351,DOID:6132,0.0026315795
DOID:9351,DOID:14221,0.0054794530000000004
DOID:9351,DOID:0111091,0.06274512
DOID:9351,DOID:0111106,0.004761906
DOID:9351,DOID:0060638,0.0027777784999999996
DOID:9351,DOID:0060652,0.0073170746
DOID:9351,DOID:0111107,0.052631594000000004
DOID:9351,DOID:0060063,0.0068965536
DOID:9351,DOID:5844,0.004819278
DOID:9351,DOID:0050650,0.012727275500000001
DOID:9351,DOID:13099,0.0027397266
DOID:9351,DOID:13381,0.004761906
DOID:9351,DOID:0110920,0.006315790999999999
DOID:9351,DOID:0111094,0.00392157
DOID:9351,DOID:0111095,0.004545456
DOID:9351,DOID:0050554,0.0027397266
DOID:9351,DOID:13042,0.0077922093
DOID:9351,DOID:718,0.0027027034999999996
DOID:9351,DOID:0060670,0.007594938000000001
DOID:1837,DOID:0110916,0.022222227999999997
