,f1-score,precision,recall,support,predicted,AUC
0,0.9325000000000001,1.0,0.8725,6.0,5.25,1.0
1,0.96,0.94,0.98,23.25,24.25,0.9989706253549567
2,0.98,0.95,1.0,20.25,21.25,1.0
3,0.94,0.94,0.94,16.5,16.5,0.9915254237288136
4,0.9325000000000001,1.0,0.8724999999999999,9.75,8.5,0.9976430976430977
macro avg,0.945,0.965,0.935,75.75,,
weighted avg,0.9550000000000001,0.9550000000000001,0.9550000000000001,75.75,,
accuracy,0.9550000000000001,,,,,
0,0.0,0.0,0.0,2.0,,0.8109148550724636
1,0.8099999999999999,0.78,0.8724999999999999,7.75,9.0,0.9531979458450046
2,0.7449999999999999,0.7,0.815,6.75,8.25,0.8762896825396825
3,0.6875,0.6675,0.7175,5.5,6.0,0.8561842105263158
4,0.5825,0.6675,0.5225,3.25,,0.8854166666666665
macro avg,0.5650000000000001,0.5625,0.5850000000000001,25.25,,
weighted avg,0.6725,0.6599999999999999,0.7125,25.25,,
accuracy,0.7125,,,,,
