,f1-score,precision,recall,support,predicted,AUC
0,0.7625,1.0,0.625,6.0,3.75,0.9928571428571429
1,0.945,0.9049999999999999,0.99,23.25,25.5,0.9977164447529501
2,0.925,0.925,0.925,20.25,20.25,0.9866126543209877
3,0.91,0.9025000000000001,0.9249999999999999,16.5,17.0,0.9856368394815553
4,0.8424999999999999,0.87,0.82,9.75,9.25,0.9948232323232323
macro avg,0.8775000000000001,0.9199999999999999,0.8575,75.75,,
weighted avg,0.905,0.915,0.9075000000000001,75.75,,
accuracy,0.9075000000000001,,,,,
0,0.0,0.0,0.0,2.0,,0.6942934782608696
1,0.6724999999999999,0.6724999999999999,0.7475,7.75,9.25,0.8469450280112045
2,0.515,0.5025,0.5975,6.75,8.25,0.7512896825396825
3,0.5549999999999999,0.54,0.59,5.5,6.0,0.7533771929824562
4,0.46749999999999997,0.625,0.4175,3.25,,0.8910984848484849
macro avg,0.4425,0.4675,0.47,25.25,,
weighted avg,0.52,0.5325,0.5650000000000001,25.25,,
accuracy,0.5650000000000001,,,,,
