,f1-score,precision,recall,support,predicted,AUC
0,0.65,1.0,0.5,6.0,3.0,0.9851190476190477
1,0.9175,0.85,1.0,23.25,27.5,1.0
2,0.9474999999999999,0.915,0.9875,20.25,22.0,0.9991071428571429
3,0.9025000000000001,0.9675,0.8474999999999999,16.5,14.5,0.9963944105184447
4,0.835,0.8875000000000001,0.7949999999999999,9.75,8.75,0.9909511784511785
macro avg,0.8524999999999999,0.9225000000000001,0.825,75.75,,
weighted avg,0.8925000000000001,0.9125,0.8975,75.75,,
accuracy,0.8975,,,,,
0,0.0,0.0,0.0,2.0,,0.5717844202898551
1,0.6475,0.5575,0.775,7.75,10.75,0.8575221755368814
2,0.6725,0.7175,0.63,6.75,6.0,0.8359126984126984
3,0.47750000000000004,0.4475,0.5399999999999999,5.5,6.75,0.7214254385964911
4,0.45999999999999996,0.585,0.4175,3.25,,0.8929924242424242
macro avg,0.4525,0.46,0.4725,25.25,,
weighted avg,0.5349999999999999,0.5275,0.5750000000000001,25.25,,
accuracy,0.5750000000000001,,,,,
