,f1-score,precision,recall,support,predicted,AUC
0,0.8500000000000001,1.0,0.7525,6.0,4.5,1.0
1,0.945,0.9299999999999999,0.96,23.25,24.0,0.9977425735154919
2,0.945,0.9075,0.9875,20.25,22.0,0.9953290343915344
3,0.915,0.9275,0.9099999999999999,16.5,16.25,0.9904793432203389
4,0.96,1.0,0.9225,9.75,9.0,0.9981060606060607
macro avg,0.9225,0.9549999999999998,0.9025,75.75,,
weighted avg,0.935,0.9375,0.935,75.75,,
accuracy,0.935,,,,,
0,0.0,0.0,0.0,2.0,,0.5828804347826086
1,0.6749999999999999,0.6825,0.7175,7.75,8.25,0.8655753968253967
2,0.6575,0.6775,0.6675,6.75,6.75,0.8948412698412698
3,0.63,0.5425,0.765,5.5,8.25,0.8888815789473685
4,0.75,1.0,0.6475,3.25,2.0,0.9526515151515151
macro avg,0.5425,0.5825,0.5575000000000001,25.25,,
weighted avg,0.615,0.64,0.645,25.25,,
accuracy,0.645,,,,,
