,f1-score,precision,recall,support,predicted,AUC
0,0.905,1.0,0.8325,6.0,5.0,1.0
1,0.93,0.9275,0.9375,23.25,23.5,0.9946925745672157
2,0.9099999999999999,0.8700000000000001,0.9625,20.25,22.5,0.9955412257495591
3,0.9775,1.0,0.955,16.5,15.75,1.0
4,0.96,1.0,0.9225,9.75,9.0,0.9992003367003367
macro avg,0.94,0.9574999999999999,0.9224999999999999,75.75,,
weighted avg,0.9375,0.945,0.9375,75.75,,
accuracy,0.9375,,,,,
0,0.0,0.0,0.0,2.0,,0.5579710144927537
1,0.7025,0.6525,0.77,7.75,9.25,0.8852707749766573
2,0.6325,0.6075,0.6699999999999999,6.75,7.5,0.8399801587301587
3,0.6174999999999999,0.605,0.675,5.5,7.0,0.8675877192982456
4,0.5,0.625,0.4175,3.25,,0.9479166666666667
macro avg,0.49000000000000005,0.49750000000000005,0.51,25.25,,
weighted avg,0.5775,0.5675,0.615,25.25,,
accuracy,0.615,,,,,
